date,"""event_name""",gender,discipline_name,participant_name,participant_type,participant_country_code,participant_country,result,result_type
2024-08-07,"""Men's Discus Throw""",M,Athletics,STONA Roje,Person,JAM,Jamaica,70,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,ALEKNA Mykolas,Person,LTU,Lithuania,69.97,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,DENNY Matthew,Person,AUS,Australia,69.31,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,CEH Kristjan,Person,SLO,Slovenia,68.41,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,WEISSHAIDINGER Lukas,Person,AUT,Austria,67.54,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,PRUEFER Clemens,Person,GER,Germany,67.41,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,STAHL Daniel,Person,SWE,Sweden,66.95,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,GUDZIUS Andrius,Person,LTU,Lithuania,66.55,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,MULLINGS Ralford,Person,JAM,Jamaica,65.61,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,SMIKLE Traves,Person,JAM,Jamaica,64.97,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,FIRFIRICA Alin Alexandru,Person,ROU,Romania,64.45,DISTANCE
2024-08-07,"""Men's Discus Throw""",M,Athletics,ROSE Alex,Person,SAM,Samoa,61.89,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,KATZBERG Ethan,Person,CAN,Canada,84.12,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,HALASZ Bence,Person,HUN,Hungary,79.97,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,KOKHAN Mykhaylo,Person,UKR,Ukraine,79.39,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,HENRIKSEN Eivind,Person,NOR,Norway,79.18,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,FAJDEK Pawel,Person,POL,Poland,78.8,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,WINKLER Rudy,Person,USA,United States,77.92,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,NOWICKI Wojciech,Person,POL,Poland,77.42,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,CHAUSSINAND Yann,Person,FRA,France,77.38,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,HAMILTON Rowan,Person,CAN,Canada,76.59,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,HUMMEL Merlin,Person,GER,Germany,76.03,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,MARDAL Thomas,Person,NOR,Norway,74.25,DISTANCE
2024-08-04,"""Men's Hammer Throw""",M,Athletics,FRANTZESKAKIS Christos,Person,GRE,Greece,73.34,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,KERR Hamish,Person,NZL,New Zealand,2.36,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,McEWEN Shelby,Person,USA,United States,2.36,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,BARSHIM Mutaz Essa,Person,QAT,Qatar,2.34,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,SOTTILE Stefano,Person,ITA,Italy,2.34,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,AKAMATSU Ryoichi,Person,JPN,Japan,2.31,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,DOROSHCHUK Oleh,Person,UKR,Ukraine,2.31,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,WOO Sanghyeok,Person,KOR,Korea,2.27,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,IVANOV Tihomir,Person,BUL,Bulgaria,2.27,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,STEFELA Jan,Person,CZE,Czechia,2.22,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,BECKFORD Romaine,Person,JAM,Jamaica,2.22,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,TAMBERI Gianmarco,Person,ITA,Italy,2.22,DISTANCE
2024-08-10,"""Men's High Jump""",M,Athletics,RAATS Brian,Person,RSA,South Africa,2.17,DISTANCE
2024-08-08,"""Men's Javelin Throw""",M,Athletics,NADEEM Arshad,Person,PAK,Pakistan,92.97,DISTANCE
2024-08-08,"""Men's Javelin Throw""",M,Athletics,CHOPRA Neeraj,Person,IND,India,89.45,DISTANCE
2024-08-08,"""Men's Javelin Throw""",M,Athletics,PETERS Anderson,Person,GRN,Grenada,88.54,DISTANCE
2024-08-08,"""Men's Javelin Throw""",M,Athletics,VADLEJCH Jakub,Person,CZE,Czechia,88.5,DISTANCE
2024-08-08,"""Men's Javelin Throw""",M,Athletics,YEGO Julius,Person,KEN,Kenya,87.72,DISTANCE
