Date,Stock,Close,Volume
2019-01-02,AAPL,155.2140045,37039700
2019-01-03,AAPL,139.75354,91312200
2019-01-04,AAPL,145.7195129,58607100
2019-01-07,AAPL,145.3952026,54777800
2019-01-08,AAPL,148.1668701,41025300
2019-01-09,AAPL,150.6829834,45099100
2019-01-10,AAPL,151.1646271,35780700
2019-01-11,AAPL,149.6804657,27023200
2019-01-14,AAPL,147.429718,32439200
2019-01-15,AAPL,150.4471283,28710900
2019-01-16,AAPL,152.28508,30569700
2019-01-17,AAPL,153.1893005,29821200
2019-01-18,AAPL,154.1328583,33751000
2019-01-22,AAPL,150.673172,30394000
2019-01-23,AAPL,151.282547,23130600
2019-01-24,AAPL,150.0834351,25441500
2019-01-25,AAPL,155.0567474,33535500
2019-01-28,AAPL,153.6217651,26192100
2019-01-29,AAPL,152.0295105,41587200
2019-01-30,AAPL,162.4184113,61109800
2019-01-31,AAPL,163.5879974,40739600
2019-02-01,AAPL,163.6666412,32668100
2019-02-04,AAPL,168.3155823,31495500
2019-02-05,AAPL,171.1953888,36101600
2019-02-06,AAPL,171.254364,28239600
2019-02-07,AAPL,168.01091,31741700
2019-02-08,AAPL,168.2083282,23820000
2019-02-11,AAPL,167.2409668,20993400
2019-02-12,AAPL,168.6821136,22283500
2019-02-13,AAPL,167.9812775,22490200
2019-02-14,AAPL,168.5932922,21835700
2019-02-15,AAPL,168.2182007,24626800
2019-02-19,AAPL,168.7215881,18972800
2019-02-20,AAPL,169.8073883,26114400
2019-02-21,AAPL,168.8499298,17249700
2019-02-22,AAPL,170.7352295,18913200
2019-02-25,AAPL,171.9789581,21873400
2019-02-26,AAPL,172.0776672,17070200
2019-02-27,AAPL,172.6106873,27835400
2019-02-28,AAPL,170.9129181,28215400
2019-03-01,AAPL,172.7093811,25886200
2019-03-04,AAPL,173.5780334,27436200
2019-03-05,AAPL,173.2621613,19737400
2019-03-06,AAPL,172.2652283,20810400
2019-03-07,AAPL,170.2713165,24796400
2019-03-08,AAPL,170.6760254,23999400
2019-03-11,AAPL,176.5886078,32011000
2019-03-12,AAPL,178.5726624,32467600
2019-03-13,AAPL,179.3623199,31032500
2019-03-14,AAPL,181.3562164,23579500
2019-03-15,AAPL,183.715332,39042900
2019-03-18,AAPL,185.5908051,26219800
2019-03-19,AAPL,184.1200562,31646400
2019-03-20,AAPL,185.7289886,31035200
2019-03-21,AAPL,192.5694275,51034200
2019-03-22,AAPL,188.5816498,42407700
2019-03-25,AAPL,186.3014832,43845300
2019-03-26,AAPL,184.3766785,49800500
2019-03-27,AAPL,186.0349731,29848400
2019-03-28,AAPL,186.2817383,20780400
2019-03-29,AAPL,187.4958649,23564000
2019-04-01,AAPL,188.7692108,27862000
2019-04-02,AAPL,191.5132904,22765700
2019-04-03,AAPL,192.8261108,23271800
2019-04-04,AAPL,193.1616821,19114300
2019-04-05,AAPL,194.4547577,18526600
2019-04-08,AAPL,197.5147095,25881700
2019-04-09,AAPL,196.9224701,35768200
2019-04-10,AAPL,198.0279846,21695300
2019-04-11,AAPL,196.3795776,20900800
2019-04-12,AAPL,196.3006134,27760700
2019-04-15,AAPL,196.6559601,17536600
2019-04-16,AAPL,196.675705,25696400
2019-04-17,AAPL,200.5055847,28906800
2019-04-18,AAPL,201.2261505,24195800
2019-04-22,AAPL,201.8874969,19439500
2019-04-23,AAPL,204.7993622,23323000
2019-04-24,AAPL,204.4835052,17540600
